product_name,url,price,rating,reviews,value_score
Impact 乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-protein-powder/10530943/,4100.0,4.77,1216.0,1.4147121951219512
Impact 分離乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-isolate-powder/10530911/,7260.0,4.74,182.0,0.11882644628099175
透明分離乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/clear-whey-protein-powder/12081395/,2350.0,4.8,82.0,0.16748936170212764
增肌配方粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-mass-gainer/10529988/,2760.0,4.65,37.0,0.06233695652173914
Essential 乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/essential-whey-protein/11052699/,1850.0,,,
透明高蛋白膠原蛋白粉,https://www.myprotein.tw/p/sports-nutrition/clear-collagen-protein-powder/12865492/,2260.0,4.8,5.0,0.010619469026548672
透明乳清蛋白 Splash 夏日清爽版,https://www.myprotein.tw/p/sports-nutrition/clear-whey-protein-splash-of-flavour/16111658/,1800.0,,,
大豆分離蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-soy-protein/10529701/,830.0,4.67,39.0,0.21943373493975904
Impact 窈窕乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-diet-whey/10530657/,2380.0,4.79,52.0,0.10465546218487395
純素高蛋白營養配方粉,https://www.myprotein.tw/p/sports-nutrition/impact-vegan-protein/11776868/,1250.0,4.63,8.0,0.029632
膠原蛋白粉,https://www.myprotein.tw/p/sports-nutrition/collagen-protein-powder/11067704/,7800.0,4.71,7.0,0.004226923076923077
Origin 系列蛋白粉（含肌酸）,https://www.myprotein.tw/p/sports-nutrition/origin-protein-with-creatine/15245849/,2260.0,,,
透明分離乳清蛋白粉（單包）,https://www.myprotein.tw/p/sports-nutrition/clear-whey-protein-sample/12081401/,140.0,4.86,21.0,0.729
豌豆分離蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-pea-protein/10530136/,3680.0,4.67,61.0,0.07741032608695653
緩釋酪蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-micellar-casein-powder/10798909/,2060.0,4.85,20.0,0.0470873786407767
【加倍佳聯名限定】草莓棒棒糖口味 透明分離乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/clear-whey-x-chupa-chups-strawberry/14866280/,2350.0,,,
低卡代餐粉,https://www.myprotein.tw/p/sports-nutrition/protein-meal-replacement-blend/11324199/,1920.0,4.81,21.0,0.05260937499999999
大麥米蛋白粉,https://www.myprotein.tw/p/sports-nutrition/plant-protein-superblend/13972449/,920.0,,,
純素透明分離蛋白粉,https://www.myprotein.tw/p/sports-nutrition/clear-vegan-protein/12360400/,950.0,4.4,5.0,0.023157894736842106
大豆 + 膠原蛋白粉,https://www.myprotein.tw/p/sports-nutrition/soy-collagen-protein/12785306/,1350.0,4.33,3.0,0.009622222222222223
透明乳清增重蛋白粉,https://www.myprotein.tw/p/sports-nutrition/clear-whey-mass-gainer/13096868/,3050.0,5.0,2.0,0.003278688524590164
英式奶茶口味 IMPACT 乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-protein-milk-tea/11571203/,2050.0,4.83,118.0,0.278019512195122
鳳梨牛奶口味 Impact 乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-protein-golden-week-pineapple/15794447/,2050.0,5.0,1.0,0.0024390243902439024
【亞洲限定】乳酸口味 透明分離乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/myprotein-clear-whey-isolate-yoghurt-alt/14920530/,2350.0,,,
全能配方蛋白粉,https://www.myprotein.tw/p/sports-nutrition/total-protein-blend/10529951/,6510.0,4.83,6.0,0.004451612903225806
THE Whey 尖端乳清,https://www.myprotein.tw/p/sports-nutrition/the-whey/11353515/,2590.0,4.83,29.0,0.054081081081081075
大麥米蛋白粉 ( 單包 ),https://www.myprotein.tw/p/sports-nutrition/plant-protein-superblend-sample/13972456/,150.0,,,
黑糖珍奶口味 Impact 乳清蛋白粉,https://www.myprotein.tw/p/sports-nutrition/impact-whey-protein-brown-sugar-milk-tea/12525923/,760.0,4.93,28.0,0.18163157894736842
